"","source","type","author","title","latitude","longitude","location","datetime","date","time","is_RT","is_all","is_mbdata","mentions","is_mention","hashtags","is_hashtag","links","is_link","not_mention","from","group","is_ccdata","is_news","is_official","is_spam","is_interest","is_others","is_all1","to","n"
"1","Part1","mbdata","POK","Follow us @POK-Kronos",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"POK-Kronos",1,"NO Hashtag",0,"NO Link",0,0,125,"Others","0","0","0","0","0","1",1,124,1
"2","Part1","mbdata","maha_Homeland","Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"NO Hashtag",0,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,93,4788
"3","Part1","mbdata","Viktor-E","Come join us in the Park! Music tonight at Abila City Park!",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"NO Hashtag",0,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,170,4788
"4","Part1","mbdata","KronosStar","POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.˜ #KronosStar",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#KronosStar",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,86,4788
"5","Part1","mbdata","AbilaPost","POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#AbilaPost",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,5,4788
"6","Part1","mbdata","ourcountryourrights","POK rally in the park tonight! #POKrally",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#POKrally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,117,4788
"7","Part1","mbdata","ReggieWassali","great day for a rally! #RememberJuliana #RememberElian #POK",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#RememberJuliana",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,135,4788
"8","Part1","mbdata","ReggieWassali","great day for a rally! #RememberJuliana #RememberElian #POK",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#RememberElian",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,135,4788
"9","Part1","mbdata","ReggieWassali","great day for a rally! #RememberJuliana #RememberElian #POK",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#POK",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,135,4788
"10","Part1","mbdata","MindOfKronos","Ugh, these POKers are anooying! #POK #gowaway",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#POK",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,106,4788
"11","Part1","mbdata","MindOfKronos","Ugh, these POKers are anooying! #POK #gowaway",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#gowaway",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,106,4788
"12","Part1","mbdata","FriendsOfKronos","massive rally of POK terrorists - cops are gathered waiting for arrests",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"NO Hashtag",0,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,50,4788
"13","Part1","ccdata","CallCentre","KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK",NA,NA,"Egeou St / Parla St","2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,0,"CallCentre",0,"NO Hashtag",0,"NO Link",0,0,21,"CallCentre","1","0","0","0","0","0",1,21,195
"14","Part1","mbdata","rockinHW","Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#abila",1,"followme.kronos/",1,1,112,"NOT Mentioned","0","0","0","0","0","0",1,137,4788
"15","Part1","mbdata","rockinHW","Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#artists",1,"followme.kronos/",1,1,112,"NOT Mentioned","0","0","0","0","0","0",1,137,4788
"16","Part1","mbdata","KronosQuoth","Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#POKRally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"17","Part1","mbdata","KronosQuoth","Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#HI",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"18","Part1","mbdata","KronosQuoth","A person who never made a mistake never tried anything new.  #KronosStar #POKRally",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#KronosStar",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"19","Part1","mbdata","KronosQuoth","A person who never made a mistake never tried anything new.  #KronosStar #POKRally",NA,NA,NA,"2014-01-23 17:00:00","2014-01-23",17:00:00,0,1,1,"NOT Mentioned",0,"#POKRally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"20","Part1","mbdata","KronosQuoth","The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally",NA,NA,NA,"2014-01-23 17:00:24","2014-01-23",17:00:24,0,1,1,"NOT Mentioned",0,"#KronosStar",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"21","Part1","mbdata","KronosQuoth","The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally",NA,NA,NA,"2014-01-23 17:00:24","2014-01-23",17:00:24,0,1,1,"NOT Mentioned",0,"#POKRally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"22","Part1","mbdata","KronosQuoth","Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.  #POKRally #HI",NA,NA,NA,"2014-01-23 17:00:24","2014-01-23",17:00:24,0,1,1,"NOT Mentioned",0,"#POKRally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"23","Part1","mbdata","KronosQuoth","Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.  #POKRally #HI",NA,NA,NA,"2014-01-23 17:00:24","2014-01-23",17:00:24,0,1,1,"NOT Mentioned",0,"#HI",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
"24","Part1","mbdata","Clevvah4Evah","I want a job 80% mental 30% fiscal #POK #Rally #Grammar",NA,NA,NA,"2014-01-23 17:00:55","2014-01-23",17:00:55,0,1,1,"NOT Mentioned",0,"#POK",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,28,4788
"25","Part1","mbdata","Clevvah4Evah","I want a job 80% mental 30% fiscal #POK #Rally #Grammar",NA,NA,NA,"2014-01-23 17:00:55","2014-01-23",17:00:55,0,1,1,"NOT Mentioned",0,"#Rally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,28,4788
"26","Part1","mbdata","Clevvah4Evah","I want a job 80% mental 30% fiscal #POK #Rally #Grammar",NA,NA,NA,"2014-01-23 17:00:55","2014-01-23",17:00:55,0,1,1,"NOT Mentioned",0,"#Grammar",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,28,4788
"27","Part1","mbdata","KronosQuoth","The meaning of life is to find your gift. The purpose of life is to give it away.  #POKRally #HI",NA,NA,NA,"2014-01-23 17:00:55","2014-01-23",17:00:55,0,1,1,"NOT Mentioned",0,"#POKRally",1,"NO Link",0,1,112,"NOT Mentioned","0","0","0","0","0","0",1,85,4788
